GeneID,elp1D_1
YGL161C,55.7
YGL158W,0.4
YGL157W,59.8
YGL155W,16.2
YGL153W,19.1
YGL146C,1.1
YGL145W,13.3
YGL143C,10
YGL142C,10
YGL137W,218.3
YGL136C,1.9
YGL134W,2.9
YGL131C,2.7
YGL130W,29.4
YGL129C,19.2
YGL128C,6.4
YGL126W,23
YGL120C,116.1
YGL117W,19.8
YGL116W,12.9
YGL113W,3.1
YGL112C,43.3
YGL100W,62.1
YGL099W,73.2
YGL097W,90.7
YGL095C,15.7
YGL094C,9.2
YGL092W,32.2
YGL090W,1.8
YGL085W,4.6
YGL084C,28.1
YGL082W,29.1
YGL081W,1.1
YGL078C,105.7
YGL077C,45.1
YGL075C,4.3
YGL067W,34.4
YGL065C,30.1
YGL063W,1.8
YGL061C,16.1
YGL059W,3.8
YGL057C,11.2
YGL056C,33.6
YGL050W,20.9
YGL048C,129.1
YGL045W,2.7
YGL044C,28.2
YGL043W,72
YGL040C,108.5
YGL039W,59.3
YGL038C,26.9
YGL035C,24.7
YGL028C,82.8
YGL027C,53.9
YGL026C,388.2
YGL020C,56.9
YGL014W,32
YGL011C,222.7
YGL009C,755.1
YGL005C,15.2
YGL004C,14.9
YGL001C,95.7
YGR002C,11.7
YGR004W,11.9
YGR006W,12.3
YGR007W,37.2
YGR009C,19.9
YGR012W,29.8
YGR014W,26.8
YGR015C,5.5
YGR017W,37
YGR021W,7.1
YGR023W,4.1
YGR024C,23.8
YGR028W,11.3
YGR040W,12.1
YGR043C,5.2
YGR044C,43.5
YGR048W,28.9
YGR052W,0.6
YGR053C,3
YGR054W,116.2
YGR055W,85.8
YGR056W,12.9
YGR057C,7.6
YGR058W,15.4
YGR059W,0.1
YGR060W,433.1
YGR061C,189.6
YGR062C,5.6
YGR065C,15
YGR067C,0.5
YGR070W,0.3
YGR071C,5.3
YGR072W,19.7
YGR075C,7.4
YGR077C,8.3
YGR080W,40.8
YGR083C,55.9
YGR084C,22.8
YGR086C,557.3
YGR088W,1.6
YGR093W,20.2
YGR096W,2.2
YGR098C,3.4
YGR101W,15.1
YGR103W,155.5
YGR106C,305.2
YGR108W,15.2
YGR110W,1.3
YGR111W,23.7
YGR113W,17.7
YGR117C,25.2
YGR119C,35.2
YGR120C,11.8
YGR121C,2.3
YGR123C,70.7
YGR126W,9.5
YGR127W,3.9
YGR128C,56.8
YGR132C,103.8
YGR135W,177.3
YGR136W,101.7
YGR142W,25
YGR144W,1.2
YGR147C,35.7
YGR149W,8.3
YGR150C,5.6
YGR152C,38.2
YGR154C,0.1
YGR156W,14.7
YGR157W,65
YGR158C,47.3
YGR161C,34.1
YGR162W,159.5
YGR165W,23.8
YGR166W,9.7
YGR167W,176.5
YGR168C,4.9
YGR171C,6.2
YGR172C,82.4
YGR175C,276.3
YGR177C,12.8
YGR178C,65.5
YGR179C,8
YGR186W,42.6
YGR187C,71
YGR188C,2.2
YGR191W,50.8
YGR193C,50.5
YGR195W,48.9
YGR197C,7
YGR198W,13.5
YGR199W,18.1
YGR200C,61.9
YGR202C,28.6
YGR204W,237.4
YGR207C,82.3
YGR208W,55.4
YGR210C,39.8
YGR212W,2.5
YGR213C,0.6
YGR216C,8.7
YGR218W,73.6
YGR220C,43.8
YGR223C,9.8
YGR224W,0.4
YGR225W,0.4
YGR227W,19.1
YGR229C,58.3
YGR231C,121
YGR232W,79.6
YGR233C,21
YGR234W,717.8
YGR235C,46.5
YGR237C,9
YGR240C,556.2
YGR244C,62.3
YGR245C,56.5
YGR246C,16.5
YGR247W,24.1
YGR248W,1.2
YGR249W,0.2
YGR252W,15.7
YGR253C,229.1
YGR256W,2.3
YGR266W,24.2
YGR267C,84.4
YGR271C-A,47.8
YGR276C,30.8
YGR277C,33.1
YGR278W,7.1
YGR286C,25.6
YGR289C,0.3
YHL047C,6.7
YHL044W,4.4
YHL039W,38.8
YHL036W,2
YHL035C,1.5
YHL032C,1.6
YHL028W,3.2
YHL026C,1.9
YHL025W,26.2
YHL024W,0.1
YHL022C,0.8
YHL021C,27.2
YHL020C,14.2
YHL019C,6.9
YHL017W,31.3
YHL016C,1.3
YHL014C,8.6
YHL011C,205.1
YHL010C,3.9
YHL009C,12.5
YHL002W,23.7
YHR001W,39
YHR002W,4.4
YHR003C,35.6
YHR004C,2.4
YHR006W,16.5
YHR009C,36.7
YHR011W,4.4
YHR012W,52.2
YHR013C,104.8
YHR016C,23.2
YHR017W,12.1
YHR018C,182.7
YHR022C,1.6
YHR024C,32.1
YHR025W,236.6
YHR029C,71.9
YHR030C,36.4
YHR031C,10
YHR033W,0.1
YHR034C,19.9
YHR036W,11
YHR037W,57.9
YHR038W,10.3
YHR039C,41.6
YHR040W,18
YHR042W,133.4
YHR045W,17.8
YHR046C,31.1
YHR048W,1.9
YHR049W,86.2
YHR061C,10.9
YHR062C,28.1
YHR063C,70.6
YHR064C,535.5
YHR065C,59.2
YHR067W,7
YHR068W,249.8
YHR069C,29.4
YHR070W,33.1
YHR071W,27.6
YHR072W,22.1
YHR074W,64.2
YHR075C,3.9
YHR076W,44.4
YHR078W,7
YHR080C,0.9
YHR083W,27.8
YHR084W,18.1
YHR085W,19.8
YHR091C,4.3
YHR098C,53.8
YHR103W,14
YHR104W,55.7
YHR106W,7.7
YHR107C,49.7
YHR108W,85.1
YHR109W,6.1
YHR111W,32.4
YHR112C,13.4
YHR113W,31.8
YHR117W,32.1
YHR123W,48
YHR127W,26.8
YHR129C,7.4
YHR131C,4.2
YHR132C,74
YHR133C,103.4
YHR134W,5.6
YHR137W,104.8
YHR140W,4.1
YHR143W,212.1
YHR144C,159
YHR146W,117.4
YHR150W,2.6
YHR151C,7.1
YHR154W,18.3
YHR156C,5.2
YHR160C,0.2
YHR161C,11.3
YHR165C,9.9
YHR169W,37.3
YHR171W,2.6
YHR177W,0.6
YHR181W,88.9
YHR183W,570.6
YHR185C,0.2
YHR188C,38.8
YHR192W,22.5
YHR195W,12.7
YHR196W,43.9
YHR197W,25.2
YHR199C,26.8
YHR205W,32.9
YHR206W,19.5
YHR208W,750.8
YHR209W,9.3
YHR210C,1.8
YIL162W,24.3
YIL160C,0.2
YIL155C,16.1
YIL154C,32.5
YIL153W,18.9
YIL152W,8
YIL151C,3.3
YIL150C,11.3
YIL146C,1.7
YIL145C,51.5
YIL144W,10.9
YIL142W,153.1
YIL140W,27.5
YIL137C,42.1
YIL136W,7.8
YIL131C,20.9
YIL130W,18.2
YIL128W,15.2
YIL126W,35.2
YIL125W,53.1
YIL124W,71.7
YIL123W,315.4
YIL121W,30.1
YIL120W,1.4
YIL118W,76.2
YIL117C,64.3
YIL115C,37.1
YIL110W,27.8
YIL108W,25.8
YIL106W,27.4
YIL104C,14.5
YIL103W,33.5
YIL101C,1.6
YIL099W,0.3
YIL097W,4.5
YIL096C,19.1
YIL094C,179.1
YIL092W,2.4
YIL091C,30.1
YIL084C,16.5
YIL083C,32.5
YIL079C,26.3
YIL077C,7.9
YIL076W,127.4
YIL075C,154.7
YIL073C,0.2
YIL072W,0.4
YIL071C,3
YIL070C,40.9
YIL068C,13.9
YIL067C,8.9
YIL061C,20.4
YIL055C,2.4
YIL050W,22.7
YIL046W,6.1
YIL045W,4.3
YIL044C,52.8
YIL039W,54.1
YIL038C,43.1
YIL037C,0.3
YIL036W,18.4
YIL035C,58
YIL034C,80.2
YIL030C,41.6
YIL023C,16.8
YIL022W,48.7
YIL020C,42.8
YIL019W,35.8
YIL015W,73.5
YIL013C,0.4
YIL006W,1.9
YIL005W,25.9
YIL003W,21.9
YIL002C,5.3
YIR002C,7.5
YIR003W,21.5
YIR004W,31.3
YIR006C,76.7
YIR008C,21.9
YIR010W,9.6
YIR011C,35.6
YIR014W,2.9
YIR016W,0.4
YIR018W,8.3
YIR021W,9.5
YIR023W,7.4
YIR026C,54.3
YIR027C,0.9
YIR028W,0.3
YIR029W,0.7
YIR030C,10.8
YIR031C,2.8
YIR034C,130.8
YIR036C,42.9
YIR038C,43.4
YIR042C,2.9
YJL216C,0.1
YJL214W,0.9
YJL212C,31.1
YJL210W,6.8
YJL208C,34.4
YJL207C,14.2
YJL206C,4.1
YJL200C,159.5
YJL194W,15.4
YJL193W,10.5
YJL192C,114.9
YJL186W,56.5
YJL185C,2.7
YJL180C,14
YJL176C,15.8
YJL174W,121.8
YJL172W,122.1
YJL171C,122.1
YJL167W,241.3
YJL165C,13.7
YJL164C,10.5
YJL163C,1.7
YJL162C,7.2
YJL160C,3.1
YJL155C,7.7
YJL153C,0.6
YJL146W,8.4
YJL139C,8.8
YJL137C,10.7
YJL133W,13.8
YJL132W,2.6
YJL130C,158
YJL129C,5.6
YJL128C,23.7
YJL127C,9.5
YJL126W,9
YJL125C,29.9
YJL123C,70.1
YJL116C,4.2
YJL111W,122.3
YJL110C,12.3
YJL109C,53.8
YJL105W,0.2
YJL103C,0.8
YJL102W,4.4
YJL101C,29.2
YJL100W,2.8
YJL092W,5.7
YJL091C,19.5
YJL088W,3.4
YJL081C,24.3
