GeneID,WT_1
YGL162W,7.6
YGL160W,16.4
YGL159W,14.9
YGL158W,0.1
YGL157W,70.1
YGL154C,5
YGL153W,19.5
YGL151W,14.7
YGL148W,292.8
YGL146C,1.3
YGL145W,14.7
YGL143C,8.2
YGL137W,166
YGL136C,3.6
YGL130W,26.7
YGL129C,24.6
YGL126W,20.4
YGL125W,13.7
YGL124C,4
YGL123W,3309.5
YGL120C,79.3
YGL119W,17
YGL117W,4.1
YGL115W,60.2
YGL114W,11.8
YGL112C,36.3
YGL107C,16.8
YGL100W,52.3
YGL099W,64.7
YGL098W,17.4
YGL097W,80.9
YGL090W,2.3
YGL085W,6.1
YGL084C,33.6
YGL083W,12.7
YGL082W,35.2
YGL081W,1.1
YGL078C,83.3
YGL077C,51.3
YGL073W,11.7
YGL067W,32.7
YGL066W,13.7
YGL065C,30.8
YGL064C,9.3
YGL063W,1.8
YGL061C,17.3
YGL059W,3.7
YGL056C,28.7
YGL050W,21.5
YGL049C,37
YGL044C,31.1
YGL043W,81.3
YGL039W,57.2
YGL038C,28
YGL035C,25.5
YGL027C,52.7
YGL026C,223.2
YGL025C,17.8
YGL023C,15.3
YGL017W,12
YGL011C,186.1
YGL009C,526
YGL006W,10.8
YGL004C,14.4
YGL001C,91.4
YGR002C,15.1
YGR004W,12
YGR005C,37
YGR006W,14.1
YGR010W,13.2
YGR012W,27
YGR013W,10.2
YGR014W,41.5
YGR019W,32.1
YGR021W,9.9
YGR023W,2.5
YGR024C,29.4
YGR028W,14.4
YGR031W,16.8
YGR033C,32.8
YGR036C,18.5
YGR041W,13.3
YGR043C,1.3
YGR048W,31.4
YGR052W,1
YGR053C,2
YGR054W,112
YGR055W,103.9
YGR057C,7.2
YGR058W,10.7
YGR060W,434.9
YGR061C,192.6
YGR066C,0.1
YGR067C,0.3
YGR068C,7.4
YGR070W,0.9
YGR072W,14
YGR075C,6
YGR077C,8.6
YGR080W,37.9
YGR083C,54.5
YGR088W,1
YGR089W,10.1
YGR091W,7.7
YGR092W,21
YGR093W,16.5
YGR097W,11.8
YGR099W,6.8
YGR100W,9.1
YGR103W,149.3
YGR106C,297.8
YGR109C,12.4
YGR110W,0.9
YGR111W,26
YGR112W,6.5
YGR113W,17.7
YGR116W,62.3
YGR117C,19.5
YGR120C,15.8
YGR121C,3.1
YGR123C,76.6
YGR125W,13.5
YGR126W,9.6
YGR127W,4.9
YGR128C,46.7
YGR130C,36.8
YGR132C,93.2
YGR135W,190.3
YGR136W,110.3
YGR141W,19.8
YGR142W,28.3
YGR144W,1.2
YGR145W,46.1
YGR147C,35.3
YGR154C,0.2
YGR156W,22.6
YGR158C,35.2
YGR161C,29
YGR163W,27.2
YGR165W,28.3
YGR168C,3.7
YGR172C,84.6
YGR173W,73.6
YGR175C,325.6
YGR177C,24.4
YGR178C,67.2
YGR179C,8.1
YGR185C,285.3
YGR186W,39.4
YGR187C,61.3
YGR191W,59.6
YGR193C,58.2
YGR194C,8.5
YGR195W,44.6
YGR196C,10.3
YGR200C,45.1
YGR205W,22.1
YGR207C,65.9
YGR208W,82.5
YGR210C,46.1
YGR213C,0.7
YGR224W,0.1
YGR225W,0.2
YGR227W,21.4
YGR229C,68.1
YGR232W,61.9
YGR235C,42.6
YGR237C,9.8
YGR241C,19.5
YGR244C,52.4
YGR245C,51.8
YGR247W,17.9
YGR248W,1.4
YGR249W,0.3
YGR250C,13.3
YGR252W,14.4
YGR253C,176.1
YGR256W,1.3
YGR260W,67.4
YGR262C,32.8
YGR263C,10
YGR267C,84.8
YGR271C-A,41.1
YGR274C,12.6
YGR280C,54
YGR282C,752.3
YGR283C,20.5
YGR286C,20.6
YGR289C,0.1
YHL047C,26.5
YHL044W,2.6
YHL039W,29.9
YHL038C,5.9
YHL036W,2.1
YHL030W,26.7
YHL027W,25.1
YHL025W,18.9
YHL024W,0.5
YHL023C,6.6
YHL022C,1.1
YHL021C,27
YHL019C,6.4
YHL017W,26.7
YHL013C,30.8
YHL009C,15.6
YHL007C,26.1
YHL004W,35.8
YHL003C,67.6
YHL002W,23.7
YHR001W,38.7
YHR002W,4.6
YHR004C,5.4
YHR005C,49.8
YHR006W,15.9
YHR007C,402.1
YHR008C,146.3
YHR009C,35.2
YHR013C,102.6
YHR014W,0.2
YHR015W,351.8
YHR016C,22
YHR018C,50
YHR019C,432.1
YHR022C,0.6
YHR025W,224.9
YHR028C,31.1
YHR029C,38.2
YHR030C,30.8
YHR031C,5.5
YHR032W,25.9
YHR033W,0.2
YHR034C,13
YHR035W,2.1
YHR036W,9.5
YHR037W,49.3
YHR038W,17
YHR039C,55.3
YHR040W,10.5
YHR042W,139.4
YHR045W,17.8
YHR046C,35.1
YHR048W,1.3
YHR050W,20.2
YHR061C,12.3
YHR062C,27
YHR063C,79.5
YHR064C,563.3
YHR065C,51.1
YHR067W,8.4
YHR068W,260.7
YHR069C,29.7
YHR070W,27.3
YHR071W,21.9
YHR072W,26.6
YHR073W,16.1
YHR074W,52.4
YHR075C,5
YHR076W,37.2
YHR079C,5.8
YHR084W,18.6
YHR086W,13.6
YHR090C,14.6
YHR097C,12.5
YHR098C,53.3
YHR101C,14.4
YHR102W,9.9
YHR104W,80.3
YHR106W,7.2
YHR107C,67
YHR108W,99
YHR109W,8.2
YHR111W,26.7
YHR112C,18.9
YHR113W,42.1
YHR114W,20.3
YHR117W,36.3
YHR118C,10.4
YHR119W,8.7
YHR122W,35.3
YHR127W,33.3
YHR129C,6.2
YHR131C,4.4
YHR132C,81.4
YHR133C,87.7
YHR134W,4.7
YHR135C,50.9
YHR137W,13
YHR139C,0.1
YHR140W,4.4
YHR143W,239.7
YHR144C,179.4
YHR146W,115.7
YHR151C,6.4
YHR154W,16.9
YHR155W,7.1
YHR156C,4.1
YHR158C,21.7
YHR159W,5.7
YHR161C,12.7
YHR163W,95.9
YHR167W,18.9
YHR168W,5.5
YHR170W,82.9
YHR171W,5.6
YHR176W,1.7
YHR177W,0.6
YHR182W,3.8
YHR183W,670.4
YHR186C,27
YHR187W,21.1
YHR192W,21.9
YHR195W,13.1
YHR196W,41.8
YHR197W,27.2
YHR199C,29.4
YHR201C,51.9
YHR202W,5.1
YHR204W,5.5
YHR205W,35.6
YHR206W,19.7
YHR207C,18.2
YHR209W,5.2
YHR210C,0.8
YIL155C,9.5
YIL154C,19.8
YIL153W,16.6
YIL152W,4
YIL146C,2.6
YIL144W,11
YIL143C,13.3
YIL140W,25.5
YIL139C,4.1
YIL137C,40.5
YIL136W,7.9
YIL135C,23.7
YIL134W,6.6
YIL131C,22.4
YIL130W,17.3
YIL129C,8.8
