GeneID,Phi
YFR024C-A,159.60000000000002
YFR026C,0.6499999999999999
YFR027W,10.6
YFR028C,49
YFR029W,10.1
YFR030W,22.15
YFR031C,15.4
YFR032C,1.35
YFR039C,43.6
YFR043C,88
YFR044C,477.5
YFR050C,313.4
YFR051C,172.95
YGL263W,7.15
YGL262W,0.4
YGL257C,26.35
YGL256W,16.799999999999997
YGL254W,21.05
YGL253W,2115.8
YGL252C,67.05
YGL249W,0.2
YGL247W,16.45
YGL246C,40.2
YGL242C,136
YGL241W,29.8
YGL240W,10.9
YGL237C,14
YGL236C,14.1
YGL235W,0.6000000000000001
YGL234W,259.04999999999995
YGL227W,24.7
YGL225W,628.8
YGL224C,41.75
YGL223C,40.75
YGL222C,51.55
YGL221C,145.65
YGL216W,16.05
YGL215W,60.6
YGL213C,85.5
YGL212W,16.95
YGL211W,24.049999999999997
YGL210W,70.15
YGL207W,174.55
YGL206C,296.75
YGL203C,68.4
YGL202W,369.75
YGL196W,44.45
YGL195W,149.14999999999998
YGL194C,36.3
YGL190C,72.9
YGL187C,88.55000000000001
YGL183C,0.75
YGL181W,63
YGL176C,6.5
YGL175C,4.550000000000001
YGL174W,14.2
YGL170C,0.35
YGL169W,29.45
YGL164C,25.15
YGL160W,41.2
YGL159W,38.65
YGL158W,0.45
YGL157W,223.9
YGL155W,29.6
YGL150C,28.6
YGL148W,331.3
YGL144C,9.15
YGL142C,31.45
YGL141W,27.5
YGL139W,61.1
YGL138C,0.2
YGL136C,8.7
YGL134W,8.45
YGL130W,45.5
YGL126W,25.75
YGL124C,12.15
YGL123W,2816.5
YGL119W,28.950000000000003
YGL117W,11.9
YGL115W,125.05
YGL114W,24.450000000000003
YGL113W,6.300000000000001
YGL111W,60.650000000000006
YGL110C,24.85
YGL107C,40.9
YGL105W,685.55
YGL097W,119.85
YGL095C,45.65
YGL094C,25.65
YGL085W,9.2
YGL083W,23.6
YGL082W,67.19999999999999
YGL081W,3.95
YGL079W,24.55
YGL068W,261.15
YGL067W,61.150000000000006
YGL066W,21.7
YGL065C,74.9
YGL063W,2.7
YGL060W,32.25
YGL049C,55.95
YGL043W,117.05
YGL040C,189.75
YGL039W,129.89999999999998
YGL038C,80.9
YGL028C,164.2
YGL027C,97.85
YGL026C,343.6
YGL022W,196.45
YGL018C,33.849999999999994
YGL016W,64.25
YGL014W,49
YGL011C,357.9
YGL009C,376.45
YGL006W,30.35
YGL004C,25.200000000000003
YGL002W,49.1
YGR007W,56.400000000000006
YGR009C,43.05
