# Created by: riboviz
# Date: 2025-11-20 22:00:12.657421
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	OTTR_P1_2
YDL234C	26.1
YDL235C	123.3
YDL236W	180.6
YDL237W	101.9
YDL238C	8
YDL239C	0.5
YDL240W	18.4
YDL241W	31.8
YDL243C	2.7
YDL244W	3.2
YDL245C	0.7
YDL246C	2.7
YDL247W	1.2
YDL248W	44.3
YDR001C	54.2
YDR002W	837
YDR003W	36.7
YDR003W-A	48.5
YDR004W	8.5
YDR005C	26.5
YDR006C	24.2
YDR007W	44
YDR009W	2.8
YDR011W	188.4
YDR012W	2112
YDR013W	100.3
YDR014W	10.1
YDR014W-A	2.5
YDR016C	41.7
YDR017C	23.7
YDR018C	0.7
YDR019C	124.6
YDR020C	31.1
YDR021W	24.4
YDR022C	20
YDR023W	830.7
YDR025W	1966.6
YDR026C	7.9
YDR027C	27.6
YDR028C	55.9
YDR030C	6.4
YDR031W	45.3
YDR032C	478.3
YDR033W	1251.4
YDR034C	21.9
YDR034C-A	46.6
YDR034W-B	8.1
YDR035W	168.7
YDR036C	79.7
YDR037W	641.3
YDR038C	75.8
YDR039C	80.4
YDR040C	74.6
YDR041W	107.5
YDR042C	1.2
YDR043C	18.4
YDR044W	162.4
YDR045C	109.4
YDR046C	81.2
YDR047W	62.2
YDR049W	20.2
YDR050C	4653.2
YDR051C	46.4
YDR052C	24.2
YDR054C	90.8
YDR055W	149.3
YDR056C	173.5
YDR057W	28.7
YDR058C	13.5
YDR059C	45.2
YDR060W	91.1
YDR061W	31.3
YDR062W	190.1
YDR063W	97.1
YDR064W	3137
YDR065W	26.5
YDR066C	15.9
YDR067C	28.9
YDR068W	67.2
YDR069C	16
YDR070C	3.3
YDR071C	510
YDR072C	110.8
YDR073W	22.9
YDR074W	71.2
YDR075W	37.3
YDR076W	5.4
YDR077W	928.1
YDR078C	14.2
YDR079C-A	70.3
YDR079W	55.4
YDR080W	21.5
YDR081C	24.2
YDR082W	6
YDR083W	67
YDR084C	101.6
YDR085C	4.3
YDR086C	776.3
YDR087C	103.4
YDR088C	15.8
YDR089W	36.5
YDR090C	38.8
YDR091C	166.8
YDR092W	196.2
YDR093W	36.2
YDR096W	16.3
YDR097C	31
YDR098C	248.8
YDR099W	828.4
YDR100W	164.6
YDR101C	127
YDR103W	23.5
YDR104C	6.7
YDR105C	52.9
YDR106W	2.4
YDR107C	37.3
YDR108W	22.6
YDR109C	10.5
YDR110W	19.4
YDR111C	18.1
YDR113C	27.3
YDR114C	0.6
YDR115W	153.4
YDR116C	61.9
YDR117C	53.8
YDR118W	14.7
YDR119W	96.5
YDR119W-A	2.2
YDR120C	89.3
YDR121W	48.6
YDR122W	30.2
YDR123C	15.4
YDR124W	1
YDR125C	5.9
YDR126W	10.2
YDR127W	136.4
YDR128W	16.8
YDR129C	244
YDR130C	23.4
YDR131C	13.6
YDR132C	13.2
YDR135C	110.7
YDR137W	23
YDR138W	35.6
YDR139C	147.9
YDR140W	48.4
YDR141C	39.4
YDR142C	15.2
YDR143C	32.1
YDR144C	92.1
YDR145W	49
YDR146C	37.6
YDR147W	31.3
YDR148C	99
YDR150W	45.4
YDR151C	66.5
YDR152W	104.5
YDR153C	53.7
YDR155C	2444
YDR156W	71.8
YDR158W	650.5
YDR159W	16.9
YDR160W	5.6
YDR161W	99.2
YDR162C	36
YDR163W	29.8
YDR164C	37.5
YDR165W	114
YDR166C	35.1
YDR167W	71.1
YDR168W	191.2
YDR169C	23.5
YDR169C-A	0
YDR170C	108.1
YDR171W	57.2
YDR172W	256.2
YDR173C	21.4
YDR174W	285.3
YDR175C	60.3
YDR176W	25.5
