# Created by: riboviz
# Date: 2026-03-12 11:46:19.396859
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
50	-2	0
10	-1	0
11	-1	0
12	-1	0
13	-1	0
14	-1	0
15	-1	0
16	-1	1
17	-1	0
18	-1	2
19	-1	1
20	-1	7
21	-1	13
22	-1	15
23	-1	19
24	-1	20
25	-1	35
26	-1	48
27	-1	93
28	-1	265
29	-1	440
30	-1	1325
31	-1	2183
32	-1	2549
33	-1	1665
34	-1	241
35	-1	17
36	-1	4
37	-1	4
38	-1	0
39	-1	1
40	-1	0
41	-1	0
42	-1	0
43	-1	0
44	-1	0
45	-1	0
46	-1	0
47	-1	0
48	-1	0
49	-1	0
50	-1	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	3
19	0	9
20	0	8
21	0	8
22	0	10
23	0	23
24	0	35
25	0	65
26	0	87
27	0	121
28	0	197
29	0	659
30	0	2552
31	0	4578
32	0	4654
33	0	2119
34	0	177
35	0	19
36	0	6
37	0	5
38	0	1
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	9
18	1	12
19	1	21
20	1	6
21	1	20
22	1	12
23	1	21
24	1	64
25	1	74
26	1	84
27	1	141
28	1	772
29	1	3717
30	1	7235
31	1	5585
32	1	2034
33	1	442
34	1	97
35	1	20
36	1	8
37	1	1
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	4
18	2	9
19	2	4
20	2	2
21	2	8
22	2	17
23	2	15
24	2	25
25	2	45
26	2	59
27	2	116
28	2	384
29	2	739
30	2	2086
31	2	4114
32	2	5107
33	2	4347
34	2	1695
35	2	154
36	2	17
37	2	9
38	2	6
39	2	1
40	2	1
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	5
17	3	5
18	3	1
19	3	1
20	3	6
21	3	3
22	3	8
23	3	13
24	3	17
25	3	37
26	3	41
27	3	72
28	3	132
29	3	1085
30	3	2338
31	3	2974
32	3	2132
33	3	555
34	3	63
35	3	12
36	3	6
37	3	1
38	3	0
39	3	0
40	3	0
41	3	0
42	3	0
43	3	0
44	3	0
45	3	0
46	3	0
47	3	0
48	3	0
49	3	0
50	3	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	4
16	4	2
17	4	3
18	4	2
19	4	1
20	4	3
21	4	2
22	4	1
23	4	19
24	4	27
25	4	33
26	4	54
27	4	73
28	4	396
29	4	1325
30	4	2383
31	4	2052
32	4	879
33	4	385
34	4	147
35	4	20
36	4	3
37	4	1
38	4	1
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	1
16	5	1
17	5	0
18	5	1
19	5	2
20	5	1
21	5	5
22	5	6
23	5	17
24	5	21
25	5	14
26	5	47
27	5	136
28	5	179
29	5	345
30	5	1050
31	5	1761
32	5	2344
33	5	1595
34	5	387
35	5	57
36	5	9
37	5	1
38	5	0
39	5	0
40	5	0
41	5	0
42	5	0
43	5	0
44	5	0
45	5	0
46	5	0
47	5	0
48	5	0
49	5	0
50	5	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	3
16	6	2
17	6	4
18	6	0
19	6	0
20	6	6
21	6	3
22	6	11
23	6	10
24	6	32
25	6	39
26	6	56
27	6	102
28	6	135
29	6	1385
30	6	4195
31	6	7387
32	6	5042
33	6	1716
34	6	192
35	6	32
36	6	10
37	6	7
38	6	0
39	6	0
40	6	0
41	6	0
42	6	0
43	6	0
44	6	0
45	6	0
46	6	0
47	6	0
48	6	0
49	6	0
50	6	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	1
17	7	0
18	7	2
19	7	3
20	7	3
21	7	5
22	7	9
23	7	16
24	7	30
25	7	42
26	7	59
27	7	88
28	7	344
29	7	1723
30	7	3634
31	7	4412
32	7	1487
33	7	369
34	7	228
35	7	36
36	7	2
37	7	3
38	7	0
39	7	0
40	7	0
41	7	0
42	7	0
43	7	0
44	7	0
45	7	0
46	7	0
47	7	0
48	7	0
49	7	0
50	7	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	3
16	8	3
17	8	3
18	8	3
